Company,Field,Reservoir,Type,County,State,Region,Working,Total,MDD
"Equitrans, LP",Logansport,Logansport,Depleted Field,Marion,WV,Consuming East,2500371,3700000,49000
"Equitrans, LP",Maple Lake,Maple Lake,Depleted Field,"Taylor, Harrison",WV,Consuming East,1247927,2400000,10000
"Equitrans, LP",Mobley,Mobley,Depleted Field,Wetzel,WV,Consuming East,5170350,7400000,125000
"Equitrans, LP",Rhodes,Rhodes,Depleted Field,"Taylor, Doddridge",WV,Consuming East,5534013,9700000,86000
"Equitrans, LP",Shirley,Shirley,Depleted Field,"Tyler, Doddridge",WV,Consuming East,2256322,3800000,29000
"Equitrans, LP",Skin Creek,Skin Creek,Depleted Field,Lewis,WV,Consuming East,1323250,2165000,37000
"Free Bird Gas Storage, LLC",Free Bird Storage/East Detroit,--,Depleted Field,Lamar,AL,--,--,--,--
"Golden Triangle Storage, Inc.",Spindletop,Louann Salt Dome,Salt Dome,"Jefferson, Orange",TX,Producing,13600000,21100000,500000
"Gulf South Gas Pipeline Company, LP",Bistineau Gas Storage,Pettit,Depleted Field,"Bossier, Bienville ",LA,Producing,85746000,141000000,1200000
"Gulf South Gas Pipeline Company, LP",Jackson Gas Storage,Selma Chalk,Depleted Field,"Rankin, Hinds",MS,Producing,5803077,7730000,303000
Hampshire Gas Company,Augusta,Oriskany Sand,Depleted Field,Hampshire,WV,Consuming East,2634000,6563000,63521
"Hardy Gas Storage, LLC",Hardy,Oriskany,Depleted Field,Hardy,WV,Consuming East,12300000,29600000,170900
Honeoye Storage Corporation,Honeoye,Honeoye,Depleted Field,Ontario,NY,Consuming East,6769470,11450000,70000
"Kinder Morgan Gas Transmission, LLC",Huntsman,Third Dakota J Sand,Depleted Field,Cheyenne,NE,Consuming East,14819082,34850000,210000
Leader One Energy,Deer Trail,--,Depleted Field,Adams,CO,--,--,--,--
Leaf River Energy Center,Leaf River,--,Salt Dome,Smith,MS,--,--,--,--
"Liberty Gas Storage, LLC",Liberty,--,Salt Dome,"Calcasieu, Cameron",LA,--,--,--,--
"Magnum Gas Storage, LLC",Magnum,--,Salt Dome,"MillardJuab",UT,--,--,--,--
"Mississippi Hub, LLC",Bond Salt Dome,,Salt Dome,Simpson,MS,Producing,23221849,32556159,900000
"MoBay Gas Storage Hub, Inc.",MoBay,--,Depleted Field,Mobile Bay,AL,--,--,--,--
"Monroe Gas Storage Company, LLC",Four Mile Creek,Carter B Sandstone,Depleted Field,Monroe,MS,Producing,7000000,19562000,269360
National Fuel Gas Supply Corporation,Beech Hill Storage,Oriskany,Depleted Field,Allegany,NY,Consuming East,9900000,23000000,66000
National Fuel Gas Supply Corporation,Bennington Storage,Medina,Depleted Field,"Reie, Wyoming",NY,Consuming East,1800000,5130000,75300
National Fuel Gas Supply Corporation,Colden Storage,Medina,Depleted Field,Erie,NY,Consuming East,7550000,18720000,120000
National Fuel Gas Supply Corporation,Collins Storage,Medina,Depleted Field,Erie,NY,Consuming East,2850000,6680000,50000
National Fuel Gas Supply Corporation,Corry Storage,Medina,Depleted Field,Erie,NY,Consuming East,200000,1250000,25000
National Fuel Gas Supply Corporation,Derby Storage,Medina,Depleted Field,Erie,NY,Consuming East,250000,470000,5000
National Fuel Gas Supply Corporation,East Independence Storage,Oriskany,Depleted Field,Allegany,NY,Consuming East,2200000,6400000,38000
National Fuel Gas Supply Corporation,Holland Storage,Medina,Depleted Field,Erie,NY,Consuming East,1100000,2670000,35000
National Fuel Gas Supply Corporation,Lawtons Storage,Medina,Depleted Field,Erie,NY,Consuming East,970000,2850000,33000
National Fuel Gas Supply Corporation,Nashville Storage,Medina,Depleted Field,Cattaraugus,NY,Consuming East,3930000,8980000,110000
National Fuel Gas Supply Corporation,Perrysburg Storage,Medina,Depleted Field,Cattaraugus,NY,Consuming East,1850000,5050000,60000
National Fuel Gas Supply Corporation,Sheridan Storage,Medina,Depleted Field,Chautaugua,NY,Consuming East,1100000,4410000,25000
National Fuel Gas Supply Corporation,West Independence Storage,Oriskany,Depleted Field,Allegany,NY,Consuming East,7300000,11800000,53000
National Fuel Gas Supply Corporation,Zoar Storage,Flint,Depleted Field,Erie,NY,Consuming East,600000,2250000,51000
National Fuel Gas Supply Corporation,Belmouth Storage,Cooper,Depleted Field,Ealk,PA,Consuming East,800000,1400000,10000
National Fuel Gas Supply Corporation,Boone Mountain Storage,5Th Venango,Depleted Field,"Elk, Clearfield",PA,Consuming East,930000,2059000,15000
National Fuel Gas Supply Corporation,East Branch Storage,Cooper,Depleted Field,"McKean, Warren",PA,Consuming East,4500000,13810000,55000
National Fuel Gas Supply Corporation,Ellisburg Storage,Oriskany,Depleted Field,Potter,PA,Consuming East,12216000,21654000,229900
National Fuel Gas Supply Corporation,Galbraith Storage,1St Sheffield,Depleted Field,Jefferson,PA,Consuming East,1900000,2948000,37000
National Fuel Gas Supply Corporation,Henderson Storage,1 3 Venango,Depleted Field,Mercer,PA,Consuming East,2500000,5308000,33000
National Fuel Gas Supply Corporation,Keelor Storage,Cooper,Depleted Field,McKean,PA,Consuming East,2400000,3950000,82000
National Fuel Gas Supply Corporation,Markle Storage,5Th Venango,Depleted Field,Jefferson,PA,Consuming East,155000,335000,11000
National Fuel Gas Supply Corporation,Queen Storage,Queen,Depleted Field,"Forest, Warren",PA,Consuming East,300000,945000,5000
National Fuel Gas Supply Corporation,St Marys Storage,5Th Venango,Depleted Field,Elk,PA,Consuming East,220000,531000,4000
National Fuel Gas Supply Corporation,Summit Storage,Oriskany,Depleted Field,Erie,PA,Consuming East,1600000,4200000,60000
National Fuel Gas Supply Corporation,Swede Hill Storage,Tiona,Depleted Field,McKean,PA,Consuming East,300000,1100000,8000
National Fuel Gas Supply Corporation,Tuscarora Storage,Oriskany,Depleted Field,Steuben,PA,Consuming East,3800000,6386000,58000
National Fuel Gas Supply Corporation,Wellendorf Storage,5Th Venango,Depleted Field,McKean,PA,Consuming East,450000,1128000,6000
National Fuel Gas Supply Corporation,Wharton Storage,Oriskany,Depleted Field,"Cameron, Potter",PA,Consuming East,16000000,31400000,300000
